title           , genres                           , overview
The Dark Knight , "Action Crime Drama"             , "A masked hero fights crime in Gotham City."
Inception       , "Action Sci-Fi Thriller"         , "A skilled thief enters the dreams of others to steal secrets."
Interstellar    , "Adventure Drama Sci-Fi"         , "A group of explorers travel through space searching for a new home."
The Matrix      , "Action Sci-Fi"                  , "A computer hacker discovers that reality is not what it seems."
The Martian     , "Adventure Drama Sci-Fi"         , "An astronaut becomes stranded on Mars and must find a way to survive."
Gravity         , "Drama Sci-Fi Thriller"          , "An astronaut struggles to survive after an accident in space."
Arrival         , "Drama Sci-Fi Mystery"           , "A linguist works to communicate with mysterious visitors from another world."
Avatar          , "Action Adventure Fantasy Sci-Fi", "A marine discovers a new world and becomes involved in a conflict."
Titanic         , "Drama Romance"                  , "Two people from different social backgrounds fall in love aboard a famous ship."
The Notebook    , "Drama Romance"                  , "A couple experiences a complicated and enduring love story."
Avengers Endgame, "Action Adventure Sci-Fi"        , "Heroes join together to face a powerful threat."
Iron Man        , "Action Adventure Sci-Fi"        , "A brilliant inventor builds a powerful armored suit."
Doctor Strange  , "Action Adventure Fantasy"       , "A surgeon discovers the mystical arts after a life-changing accident."
Jurassic Park   , "Adventure Sci-Fi Thriller"      , "Scientists create a theme park containing genetically engineered dinosaurs."
Terminator 2    , "Action Sci-Fi Thriller"         , "A powerful machine travels through time to protect a young boy."

id	title	genre	release_date	release_year	budget	revenue	runtime	vote_average	vote_count	production_country
1	Movie Title 1	Science Fiction, Comedy, Horror	01-01-1957	1957	36972721	130692839.8	123	4.496790402	9221	Germany
2	Movie Title 2	Documentary, Romance	01-01-1999	1999	96359319	294797495.9	146	5.803305922	4592	China
3	Movie Title 3	Science Fiction, Action	01-01-1941	1941	135172742	104840893.7	168	2.710639127	7146	Japan
4	Movie Title 4	Comedy, Drama, Adventure	01-01-1961	1961	129049379	153558492.6	134	5.631398059	8363	Germany
5	Movie Title 5	Comedy, Romance	01-01-1969	1969	151390401	100829065.8	116	4.245861897	9487	Japan
6	Movie Title 6	Adventure	01-01-2020	2020	169912312	572492297.3	163	1.167284904	3801	India
7	Movie Title 7	Documentary	01-01-1962	1962	47113615	230941909.3	174	3.575688069	6228	India
8	Movie Title 8	Comedy, Romance	01-01-1960	1960	42844528	86014940.51	150	8.112310081	9485	India
9	Movie Title 9	Horror, Science Fiction, Documentary	01-01-2007	2007	96564462	49458803.4	149	5.886860616	8356	United Kingdom
10	Movie Title 10	Drama, Documentary	01-01-1992	1992	14771093	63537652.76	107	6.632066395	3680	China
11	Movie Title 11	Action, Adventure, Horror	01-01-2022	2022	108056880	162986494.7	107	7.811520377	2198	India
12	Movie Title 12	Drama, Romance, Action	01-01-2012	2012	71959669	358235086.1	169	9.092852338	4292	China
13	Movie Title 13	Action	01-01-1964	1964	101775125	487336686.6	81	7.255066618	7318	China
14	Movie Title 14	Comedy	01-01-1980	1980	72465635	308839133.7	81	7.306228246	3605	France
15	Movie Title 15	Comedy, Horror, Documentary	01-01-1950	1950	144659170	629206497.4	165	2.538855625	5851	Canada
16	Movie Title 16	Drama, Comedy	01-01-2010	2010	8140456	32455474.25	95	8.595520228	2409	United States of America
17	Movie Title 17	Drama, Horror	01-01-1981	1981	241476905	552472681.7	131	5.474881355	6062	Germany
18	Movie Title 18	Drama	01-01-1986	1986	7513903	19465050.96	126	6.69687343	3376	United States of America
19	Movie Title 19	Science Fiction, Horror, Adventure	01-01-2019	2019	27224894	123216456.2	163	4.169729413	4146	Japan
20	Movie Title 20	Science Fiction	01-01-1969	1969	2061020	7007216.934	92	6.541179363	9184	France
21	Movie Title 21	Action, Adventure	01-01-1983	1983	45311732	124554042.9	115	3.663723588	3629	United States of America
22	Movie Title 22	Science Fiction, Comedy	01-01-1986	1986	116045886	60243288.8	83	8.161137516	9184	Canada
23	Movie Title 23	Horror, Drama	01-01-1990	1990	115910068	464470216.6	174	8.208298989	7447	Canada
24	Movie Title 24	Romance, Science Fiction, Documentary	01-01-1952	1952	23432276	52833895.99	132	3.311691718	9876	Canada
25	Movie Title 25	Horror, Science Fiction, Comedy	01-01-1941	1941	51218709	53492597.35	106	9.48149324	3341	United Kingdom
